timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T18:30:12.949558,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,,,-19,T_DECK,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!a2eb46d0,46d0,Meshtastic 46d0,,,,,-16,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!43596b54,6b54,Meshtastic 6b54,,,,,-15,HELTEC_V3,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!a2ebd5d8,JETh,juliatuttle home,42.3886,-71.1119,,,-12,STATION_G2,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-16,HELTEC_V3,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!d176b323,b323,Meshtastic b323,42.3494,-71.0803,,,-16,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!18a46a1b,SB01,Southie Aloha,42.3380,-71.0411,,,-18,T_ECHO,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!ae44547c,MshA,MeshyWeshy-A,42.3352,-71.1578,,,-16,HELTEC_MESH_NODE_T114,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!a2eb5300,JETw,juliatuttle work,42.3627,-71.0881,,,-16,STATION_G2,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!ea1cc684,c684,Meshtastic c684,42.3363,-71.1197,,,-16,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!328ab3af,b3af,Meshtastic b3af,42.4338,-71.0657,,,-16,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!a0cb2840,2840,Meshtastic 2840,42.3363,-71.1721,,,-17,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!7487daa3,daa3,Meshtastic daa3,42.2838,-71.0672,,,-17,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!a2e990b0,90b0,Meshtastic 90b0,,,,,-15,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!433e9d30,9d30,Meshtastic 9d30,42.3887,-71.0672,,,-17,UNSET,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!3524e370,PrHl,ProspectHill,,,,,-19,RAK4631,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,,,-17,SEEED_WIO_TRACKER_L1,42.396,-71.2079,78.0
2025-10-24T18:30:12.949558,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.396,-71.2079,78.0
